Date,State,Abbreviation,Regular,Mid-Grade,Premium,Diesel
2026-04-02,New Jersey,NJ,4.052,4.564,4.836,5.844
2026-04-02,New Mexico,NM,3.829,4.251,4.57,5.256
2026-04-02,New York,NY,4.011,4.502,4.894,5.83
2026-04-02,North Carolina,NC,3.912,4.354,4.746,5.669
2026-04-02,North Dakota,ND,3.43,3.822,4.188,4.593
2026-04-02,Ohio,OH,3.755,4.282,4.797,5.024
2026-04-02,Oklahoma,OK,3.272,3.688,3.96,4.483
2026-04-02,Oregon,OR,4.966,5.198,5.472,6.166
2026-04-02,Pennsylvania,PA,4.075,4.506,4.884,5.94
2026-04-02,Rhode Island,RI,3.914,4.589,4.999,5.742
2026-04-02,South Carolina,SC,3.83,4.263,4.666,5.509
2026-04-02,South Dakota,SD,3.524,3.646,4.158,4.606
2026-04-02,Tennessee,TN,3.844,4.306,4.71,5.347
2026-04-02,Texas,TX,3.804,4.286,4.657,5.147
2026-04-02,Utah,UT,4.192,4.47,4.719,5.472
2026-04-02,Vermont,VT,3.992,4.488,4.921,5.804
2026-04-02,Virginia,VA,4.009,4.472,4.851,5.695
2026-04-02,Washington,WA,5.365,5.631,5.872,6.713
2026-04-02,West Virginia,WV,3.909,4.351,4.791,5.381
2026-04-02,Wisconsin,WI,3.792,4.267,4.874,4.731
2026-04-02,Wyoming,WY,3.839,4.143,4.432,4.977
2026-04-03,Alabama,AL,3.811,4.264,4.668,5.368
2026-04-03,Alaska,AK,4.623,4.827,5.074,5.751
2026-04-03,Arizona,AZ,4.704,5.093,5.411,6.101
2026-04-03,Arkansas,AR,3.564,4.012,4.364,5.004
2026-04-03,California,CA,5.895,6.135,6.319,7.59
2026-04-03,Colorado,CO,3.846,4.248,4.576,4.946
2026-04-03,Connecticut,CT,4.034,4.549,4.952,5.897
2026-04-03,Delaware,DE,3.892,4.465,4.767,5.761
2026-04-03,District of Columbia,DC,4.236,4.804,5.18,5.752
2026-04-03,Florida,FL,4.222,4.673,4.996,5.814
2026-04-03,Georgia,GA,3.707,4.178,4.601,5.261
2026-04-03,Hawaii,HI,5.546,5.749,6.006,6.835
2026-04-03,Idaho,ID,4.264,4.56,4.808,5.506
2026-04-03,Illinois,IL,4.272,4.833,5.317,5.179
2026-04-03,Indiana,IN,3.932,4.477,4.965,5.199
2026-04-03,Iowa,IA,3.5,3.669,4.345,4.857
2026-04-03,Kansas,KS,3.341,3.684,3.996,4.587
2026-04-03,Kentucky,KY,3.908,4.443,4.877,5.124
2026-04-03,Louisiana,LA,3.766,4.202,4.596,5.243
2026-04-03,Maine,ME,3.92,4.45,4.941,5.82
2026-04-03,Maryland,MD,4.066,4.613,4.96,5.877
2026-04-03,Massachusetts,MA,3.882,4.456,4.845,5.792
2026-04-03,Michigan,MI,3.869,4.466,5.025,4.982
2026-04-03,Minnesota,MN,3.555,3.977,4.485,4.883
2026-04-03,Mississippi,MS,3.731,4.162,4.558,5.216
2026-04-03,Missouri,MO,3.521,3.941,4.243,4.689
2026-04-03,Montana,MT,3.755,4.098,4.426,4.845
2026-04-03,Nebraska,NE,3.458,3.636,4.097,4.701
2026-04-03,Nevada,NV,4.96,5.292,5.566,6.303
2026-04-03,New Hampshire,NH,3.881,4.395,4.863,5.742
2026-04-03,New Jersey,NJ,4.067,4.579,4.855,5.857
2026-04-03,New Mexico,NM,3.896,4.318,4.63,5.328
2026-04-03,New York,NY,4.033,4.513,4.906,5.858
